time,open,high,low,close,volume
2010/01/14 00:00:00:000000,25.32,25.38,25.19,25.33,190297.0
2010/01/19 00:00:00:000000,25.1,25.28,25.02,25.26,231696.0
2010/01/20 00:00:00:000000,24.84,24.84,24.49,24.7,198294.0
2010/01/21 00:00:00:000000,24.49,24.5,23.9,23.9,177053.0
2010/01/22 00:00:00:000000,23.85,23.85,23.39,23.46,58362.0
2010/01/25 00:00:00:000000,23.86,23.94,23.57,23.63,114175.0
2010/01/26 00:00:00:000000,23.3,23.55,23.11,23.3,82790.0
2010/01/27 00:00:00:000000,23.14,23.26,22.87,23.2,46326.0
2010/01/28 00:00:00:000000,23.47,23.47,22.87,23.13,38155.0
2010/01/29 00:00:00:000000,23.43,23.52,22.9,23.0,50478.0
2010/02/01 00:00:00:000000,23.24,23.58,23.22,23.58,64143.0
2010/02/02 00:00:00:000000,23.58,23.73,23.4,23.72,467423.0
2010/02/03 00:00:00:000000,23.77,23.8,23.54,23.64,26225.0
2010/02/04 00:00:00:000000,23.25,23.25,22.56,22.56,83191.0
2010/02/05 00:00:00:000000,22.47,23.0,21.79,22.38,65738.0
2010/02/08 00:00:00:000000,22.37,22.42,22.13,22.13,45803.0
2010/02/09 00:00:00:000000,22.57,22.95,22.49,22.73,45852.0
2010/02/10 00:00:00:000000,22.83,22.91,22.53,22.69,68880.0
2010/02/11 00:00:00:000000,22.9,23.28,22.74,23.23,196926.0
2010/02/16 00:00:00:000000,23.33,23.48,23.17,23.46,63417.0
2010/02/17 00:00:00:000000,23.73,23.73,23.41,23.57,42776.0
2010/02/18 00:00:00:000000,23.46,23.74,23.43,23.7,47649.0
2010/02/19 00:00:00:000000,23.49,23.64,23.35,23.5,25256.0
2010/02/22 00:00:00:000000,23.67,23.67,23.41,23.46,43403.0
2010/02/23 00:00:00:000000,23.42,23.42,22.95,23.05,40793.0
2010/02/24 00:00:00:000000,23.2,23.35,23.05,23.29,22410.0
2010/02/25 00:00:00:000000,22.85,23.19,22.7,23.16,36709.0
2010/02/26 00:00:00:000000,23.33,23.59,23.19,23.39,92608.0
2010/03/01 00:00:00:000000,23.73,23.92,23.54,23.82,93830.0
2010/03/02 00:00:00:000000,24.11,24.15,23.9,24.06,158222.0
2010/03/03 00:00:00:000000,24.21,24.32,24.04,24.12,52187.0
2010/03/04 00:00:00:000000,24.19,24.19,23.94,24.1,99676.0
2010/03/05 00:00:00:000000,24.22,24.59,24.19,24.54,1013224.0
2010/03/08 00:00:00:000000,24.68,24.71,24.58,24.64,169901.0
2010/03/09 00:00:00:000000,24.52,24.8,24.45,24.7,86211.0
2010/03/10 00:00:00:000000,24.81,24.92,24.71,24.8,55543.0
2010/03/11 00:00:00:000000,24.71,24.82,24.55,24.81,368316.0
2010/03/12 00:00:00:000000,24.97,24.97,24.65,24.74,550332.0
2010/03/15 00:00:00:000000,24.65,24.65,24.4,24.59,56544.0
2010/03/16 00:00:00:000000,24.58,24.84,24.58,24.84,39772.0
2010/03/17 00:00:00:000000,25.05,25.21,24.97,25.09,136618.0
2010/03/18 00:00:00:000000,25.06,25.09,24.84,24.96,91447.0
2010/03/19 00:00:00:000000,25.07,25.07,24.61,24.65,53089.0
2010/03/22 00:00:00:000000,24.6,24.79,24.23,24.75,60164.0
