time,open,high,low,close,volume
2010/08/05 00:00:00:000000,49.94,50.01,49.94,50.0,5443.0
2010/08/06 00:00:00:000000,50.34,50.34,50.14,50.2,16630.0
2010/08/09 00:00:00:000000,50.18,50.19,50.17,50.18,14726.0
2010/08/10 00:00:00:000000,50.15,50.38,50.11,50.38,20553.0
2010/08/11 00:00:00:000000,50.49,50.55,50.45,50.51,31925.0
2010/08/12 00:00:00:000000,50.53,50.53,50.39,50.39,26225.0
2010/08/13 00:00:00:000000,50.45,50.5,50.43,50.5,20320.0
2010/08/16 00:00:00:000000,50.85,50.86,50.65,50.75,35505.0
2010/08/17 00:00:00:000000,50.66,50.66,50.55,50.6,22219.0
2010/08/18 00:00:00:000000,50.7,50.71,50.57,50.57,10224.0
2010/08/19 00:00:00:000000,50.56,50.74,50.56,50.72,160126.0
2010/08/20 00:00:00:000000,50.69,50.7,50.55,50.56,36489.0
2010/08/23 00:00:00:000000,50.56,50.64,50.55,50.62,37124.0
2010/08/24 00:00:00:000000,50.79,50.94,50.77,50.85,29116.0
2010/08/25 00:00:00:000000,51.0,51.0,50.72,50.72,21787.0
2010/08/26 00:00:00:000000,50.73,50.8,50.7,50.79,11169.0
2010/08/27 00:00:00:000000,50.7,50.79,50.45,50.45,25288.0
2010/08/30 00:00:00:000000,50.67,50.79,50.63,50.79,7546.0
2010/08/31 00:00:00:000000,50.92,50.93,50.86,50.93,8546.0
2010/09/01 00:00:00:000000,50.81,50.81,50.56,50.63,19090.0
2010/09/02 00:00:00:000000,50.6,50.6,50.55,50.55,2503.0
2010/09/07 00:00:00:000000,50.56,50.65,50.54,50.65,14231.0
2010/09/08 00:00:00:000000,50.55,50.58,50.48,50.53,35043.0
2010/09/09 00:00:00:000000,50.39,50.39,50.22,50.22,32350.0
2010/09/10 00:00:00:000000,50.17,50.19,50.09,50.17,4665.0
2010/09/13 00:00:00:000000,50.17,50.37,50.17,50.37,17302.0
2010/09/14 00:00:00:000000,50.44,50.58,50.44,50.58,14464.0
2010/09/15 00:00:00:000000,50.55,50.61,50.43,50.45,13019.0
2010/09/16 00:00:00:000000,50.43,50.43,50.34,50.38,5560.0
2010/09/17 00:00:00:000000,50.43,50.46,50.42,50.44,2550.0
2010/09/20 00:00:00:000000,50.52,50.56,50.46,50.56,7465.0
2010/09/21 00:00:00:000000,50.67,50.86,50.62,50.86,13841.0
2010/09/22 00:00:00:000000,50.96,51.03,50.9,50.9,4691.0
2010/09/23 00:00:00:000000,51.02,51.04,50.87,50.88,20732.0
2010/09/24 00:00:00:000000,50.81,50.84,50.77,50.81,10396.0
2010/09/27 00:00:00:000000,50.88,51.02,50.88,51.02,5893.0
2010/09/28 00:00:00:000000,51.12,51.19,51.12,51.18,1980.0
2010/09/29 00:00:00:000000,51.17,51.17,51.08,51.08,13088.0
2010/09/30 00:00:00:000000,51.0,51.08,50.85,51.08,4855.0
2010/10/01 00:00:00:000000,50.89,51.05,50.88,51.03,9068.0
2010/10/04 00:00:00:000000,51.07,51.17,51.07,51.17,6348.0
2010/10/05 00:00:00:000000,51.2,51.22,51.18,51.2,6537.0
2010/10/06 00:00:00:000000,51.43,51.46,51.36,51.36,8948.0
2010/10/07 00:00:00:000000,51.42,51.42,51.38,51.41,2970.0
2010/10/08 00:00:00:000000,51.5,51.55,51.45,51.45,10505.0
2010/10/11 00:00:00:000000,51.58,51.58,51.49,51.5,2969.0
2010/10/12 00:00:00:000000,51.52,51.52,51.37,51.4,12932.0
2010/10/13 00:00:00:000000,51.29,51.37,51.27,51.37,6301.0
2010/10/14 00:00:00:000000,51.35,51.36,51.2,51.28,11062.0
2010/10/15 00:00:00:000000,51.21,51.23,51.08,51.15,9130.0
2010/10/18 00:00:00:000000,51.27,51.36,51.27,51.34,5817.0
2010/10/19 00:00:00:000000,51.28,51.44,51.28,51.42,17372.0
2010/10/20 00:00:00:000000,51.36,51.49,51.36,51.45,3569.0
2010/10/21 00:00:00:000000,51.35,51.36,51.28,51.28,9611.0
2010/10/22 00:00:00:000000,51.23,51.28,51.22,51.24,11525.0
2010/10/25 00:00:00:000000,51.39,51.4,51.22,51.23,15357.0
2010/10/26 00:00:00:000000,51.1,51.11,51.0,51.02,6104.0
2010/10/27 00:00:00:000000,50.89,50.9,50.77,50.77,29291.0
2010/10/28 00:00:00:000000,50.96,51.05,50.94,51.03,8548.0
2010/10/29 00:00:00:000000,51.12,51.24,51.12,51.22,29152.0
2010/11/01 00:00:00:000000,51.29,51.29,51.11,51.17,15564.0
2010/11/02 00:00:00:000000,51.19,51.26,51.19,51.24,18052.0
2010/11/03 00:00:00:000000,51.31,51.4,51.0,51.4,16642.0
2010/11/04 00:00:00:000000,51.59,51.67,51.56,51.65,18223.0
2010/11/05 00:00:00:000000,51.6,51.61,51.47,51.47,9257.0
2010/11/08 00:00:00:000000,51.48,51.51,51.39,51.43,16396.0
2010/11/09 00:00:00:000000,51.43,51.43,51.08,51.08,22511.0
2010/11/10 00:00:00:000000,51.11,51.25,50.74,51.22,24356.0
2010/11/11 00:00:00:000000,51.07,51.2,51.06,51.11,8478.0
2010/11/12 00:00:00:000000,51.06,51.11,50.81,50.82,77938.0
