time,open,high,low,close,volume
2009/11/03 00:00:00:000000,25.0,25.01,24.24,24.57,504263.0
2009/11/05 00:00:00:000000,24.92,25.09,24.73,25.08,112386.0
2009/11/06 00:00:00:000000,25.1,25.2,24.92,25.15,165636.0
2009/11/09 00:00:00:000000,25.59,25.72,25.33,25.72,105856.0
2009/11/10 00:00:00:000000,25.66,25.79,25.56,25.66,107152.0
2009/11/11 00:00:00:000000,25.89,26.0,25.72,25.84,261668.0
2009/11/12 00:00:00:000000,25.83,25.91,25.48,25.53,116552.0
2009/11/13 00:00:00:000000,25.64,25.78,25.5,25.68,584919.0
2009/11/16 00:00:00:000000,25.92,26.19,25.85,26.06,178049.0
2009/11/17 00:00:00:000000,26.05,26.12,25.91,26.11,136649.0
2009/11/18 00:00:00:000000,26.15,26.15,25.95,26.09,97129.0
2009/11/19 00:00:00:000000,25.93,25.93,25.55,25.72,127598.0
2009/11/20 00:00:00:000000,25.6,25.68,25.52,25.62,92308.0
2009/11/23 00:00:00:000000,25.95,26.12,25.9,25.94,101910.0
2009/11/24 00:00:00:000000,25.99,25.99,25.76,25.94,112202.0
2009/11/25 00:00:00:000000,26.02,26.06,25.96,26.05,163317.0
2009/11/27 00:00:00:000000,25.42,25.8,25.28,25.62,153696.0
2009/11/30 00:00:00:000000,25.61,25.73,25.49,25.72,158900.0
2009/12/01 00:00:00:000000,25.98,26.1,25.91,26.02,120895.0
2009/12/02 00:00:00:000000,26.04,26.21,25.98,26.08,86177.0
2009/12/03 00:00:00:000000,26.15,26.27,25.84,25.84,233510.0
2009/12/04 00:00:00:000000,26.27,26.32,25.77,26.04,279846.0
2009/12/07 00:00:00:000000,26.11,26.15,25.94,25.99,216487.0
2009/12/08 00:00:00:000000,25.8,25.87,25.64,25.73,271368.0
2009/12/09 00:00:00:000000,25.7,25.84,25.58,25.81,681213.0
2009/12/10 00:00:00:000000,26.0,26.04,25.88,25.92,164369.0
2009/12/11 00:00:00:000000,26.05,26.08,25.94,26.04,165252.0
2009/12/14 00:00:00:000000,26.3,26.3,26.14,26.29,222709.0
2009/12/15 00:00:00:000000,26.24,26.28,26.12,26.14,163282.0
2009/12/16 00:00:00:000000,26.3,26.35,26.18,26.24,166946.0
2009/12/17 00:00:00:000000,26.09,26.09,25.9,25.94,157418.0
2009/12/18 00:00:00:000000,26.09,26.09,25.85,26.08,158326.0
2009/12/21 00:00:00:000000,26.27,26.42,26.22,26.37,190534.0
2009/12/22 00:00:00:000000,26.48,26.51,26.39,26.46,246424.0
2009/12/23 00:00:00:000000,26.55,26.55,26.38,26.53,183189.0
2009/12/24 00:00:00:000000,26.56,26.64,26.53,26.63,86488.0
2009/12/28 00:00:00:000000,26.71,26.75,26.56,26.65,184609.0
2009/12/29 00:00:00:000000,26.73,26.73,26.62,26.64,119335.0
2009/12/30 00:00:00:000000,26.55,26.63,26.51,26.63,126074.0
