time,open,high,low,close,volume
1987/12/28 00:00:00:000000,824.40002,824.40002,824.40002,824.40002,0.0
1987/12/29 00:00:00:000000,810.90002,810.90002,810.90002,810.90002,0.0
1987/12/30 00:00:00:000000,823.20001,823.20001,823.20001,823.20001,0.0
1988/01/04 00:00:00:000000,833.59998,833.59998,833.59998,833.59998,0.0
1988/01/05 00:00:00:000000,879.29999,879.29999,879.29999,879.29999,0.0
1988/01/06 00:00:00:000000,906.0,906.0,906.0,906.0,0.0
1988/01/07 00:00:00:000000,911.5,911.5,911.5,911.5,0.0
1988/01/08 00:00:00:000000,895.29999,895.29999,895.29999,895.29999,0.0
1988/01/11 00:00:00:000000,849.09998,849.09998,849.09998,849.09998,0.0
1988/01/12 00:00:00:000000,870.5,870.5,870.5,870.5,0.0
1988/01/13 00:00:00:000000,853.90002,853.90002,853.90002,853.90002,0.0
1988/01/14 00:00:00:000000,861.59998,861.59998,861.59998,861.59998,0.0
1988/01/15 00:00:00:000000,869.79999,869.79999,869.79999,869.79999,0.0
1988/01/18 00:00:00:000000,917.59998,917.59998,917.59998,917.59998,0.0
1988/01/19 00:00:00:000000,912.20001,912.20001,912.20001,912.20001,0.0
1988/01/20 00:00:00:000000,924.09998,924.09998,924.09998,924.09998,0.0
1988/01/21 00:00:00:000000,909.59998,909.59998,909.59998,909.59998,0.0
1988/01/22 00:00:00:000000,904.20001,904.20001,904.20001,904.20001,0.0
1988/01/25 00:00:00:000000,908.90002,908.90002,908.90002,908.90002,0.0
1988/01/26 00:00:00:000000,907.40002,907.40002,907.40002,907.40002,0.0
1988/01/27 00:00:00:000000,897.40002,897.40002,897.40002,897.40002,0.0
1988/01/28 00:00:00:000000,903.70001,903.70001,903.70001,903.70001,0.0
1988/01/29 00:00:00:000000,908.90002,908.90002,908.90002,908.90002,0.0
1988/02/01 00:00:00:000000,892.0,892.0,892.0,892.0,0.0
1988/02/02 00:00:00:000000,888.20001,888.20001,888.20001,888.20001,0.0
1988/02/03 00:00:00:000000,895.5,895.5,895.5,895.5,0.0
1988/02/04 00:00:00:000000,882.09998,882.09998,882.09998,882.09998,0.0
1988/02/05 00:00:00:000000,869.90002,869.90002,869.90002,869.90002,0.0
1988/02/08 00:00:00:000000,859.20001,859.20001,859.20001,859.20001,0.0
1988/02/09 00:00:00:000000,851.79999,851.79999,851.79999,851.79999,0.0
1988/02/10 00:00:00:000000,857.70001,857.70001,857.70001,857.70001,0.0
1988/02/11 00:00:00:000000,866.70001,866.70001,866.70001,866.70001,0.0
1988/02/12 00:00:00:000000,873.20001,873.20001,873.20001,873.20001,0.0
1988/02/15 00:00:00:000000,882.09998,882.09998,882.09998,882.09998,0.0
1988/02/16 00:00:00:000000,886.59998,886.59998,886.59998,886.59998,0.0
1988/02/19 00:00:00:000000,890.0,890.0,890.0,890.0,0.0
1988/02/22 00:00:00:000000,901.70001,901.70001,901.70001,901.70001,0.0
1988/02/23 00:00:00:000000,894.20001,894.20001,894.20001,894.20001,0.0
1988/02/24 00:00:00:000000,892.40002,892.40002,892.40002,892.40002,0.0
1988/02/25 00:00:00:000000,889.20001,889.20001,889.20001,889.20001,0.0
1988/02/26 00:00:00:000000,888.20001,888.20001,888.20001,888.20001,0.0
1988/02/29 00:00:00:000000,888.79999,888.79999,888.79999,888.79999,0.0
1988/03/01 00:00:00:000000,890.29999,890.29999,890.29999,890.29999,0.0
1988/03/02 00:00:00:000000,892.29999,892.29999,892.29999,892.29999,0.0
1988/03/03 00:00:00:000000,912.40002,912.40002,912.40002,912.40002,0.0
1988/03/04 00:00:00:000000,920.59998,920.59998,920.59998,920.59998,0.0
1988/03/07 00:00:00:000000,915.70001,915.70001,915.70001,915.70001,0.0
1988/03/08 00:00:00:000000,917.59998,917.59998,917.59998,917.59998,0.0
1988/03/09 00:00:00:000000,932.29999,932.29999,932.29999,932.29999,0.0
1988/03/10 00:00:00:000000,938.40002,938.40002,938.40002,938.40002,0.0
1988/03/11 00:00:00:000000,940.59998,940.59998,940.59998,940.59998,0.0
1988/03/14 00:00:00:000000,948.0,948.0,948.0,948.0,0.0
1988/03/15 00:00:00:000000,944.09998,944.09998,944.09998,944.09998,0.0
1988/03/16 00:00:00:000000,946.5,946.5,946.5,946.5,0.0
1988/03/17 00:00:00:000000,958.70001,958.70001,958.70001,958.70001,0.0
1988/03/18 00:00:00:000000,959.79999,959.79999,959.79999,959.79999,0.0
1988/03/21 00:00:00:000000,969.5,969.5,969.5,969.5,0.0
1988/03/22 00:00:00:000000,957.90002,957.90002,957.90002,957.90002,0.0
1988/03/23 00:00:00:000000,961.5,961.5,961.5,961.5,0.0
1988/03/24 00:00:00:000000,958.5,958.5,958.5,958.5,0.0
1988/03/25 00:00:00:000000,945.59998,945.59998,945.59998,945.59998,0.0
1988/03/28 00:00:00:000000,925.20001,925.20001,925.20001,925.20001,0.0
1988/03/29 00:00:00:000000,919.40002,919.40002,919.40002,919.40002,0.0
1988/03/30 00:00:00:000000,930.09998,930.09998,930.09998,930.09998,0.0
1988/03/31 00:00:00:000000,925.79999,925.79999,925.79999,925.79999,0.0
1988/04/05 00:00:00:000000,926.79999,926.79999,926.79999,926.79999,0.0
1988/04/06 00:00:00:000000,935.0,935.0,935.0,935.0,0.0
1988/04/07 00:00:00:000000,946.0,946.0,946.0,946.0,0.0
1988/04/08 00:00:00:000000,943.0,943.0,943.0,943.0,0.0
1988/04/11 00:00:00:000000,946.5,946.5,946.5,946.5,0.0
1988/04/12 00:00:00:000000,946.09998,946.09998,946.09998,946.09998,0.0
1988/04/13 00:00:00:000000,955.40002,955.40002,955.40002,955.40002,0.0
1988/04/14 00:00:00:000000,957.09998,957.09998,957.09998,957.09998,0.0
1988/04/15 00:00:00:000000,933.40002,933.40002,933.40002,933.40002,0.0
1988/04/18 00:00:00:000000,930.70001,930.70001,930.70001,930.70001,0.0
