time,open,high,low,close,volume
2006/01/02 00:00:00:000000,92.8,92.8,89.5,89.5,463000.0
2006/01/03 00:00:00:000000,89.5,92.5,89.0,92.5,387000.0
2006/01/04 00:00:00:000000,92.5,94.2,91.2,94.2,583000.0
2006/01/05 00:00:00:000000,94.2,94.5,91.1,94.2,517000.0
2006/01/06 00:00:00:000000,94.0,94.0,91.5,92.8,326000.0
2006/01/09 00:00:00:000000,92.0,93.6,92.0,93.4,553000.0
2006/01/10 00:00:00:000000,93.5,93.5,91.3,93.4,473000.0
2006/01/11 00:00:00:000000,93.4,94.5,91.9,94.5,730000.0
2006/01/12 00:00:00:000000,92.1,94.5,90.8,92.5,1064000.0
2006/01/13 00:00:00:000000,91.9,92.0,90.4,91.0,1049000.0
2006/01/16 00:00:00:000000,90.1,91.0,89.7,89.7,254000.0
2006/01/17 00:00:00:000000,89.7,90.2,89.7,90.2,1670000.0
2006/01/18 00:00:00:000000,93.0,93.0,89.1,89.6,630000.0
2006/01/19 00:00:00:000000,89.0,89.7,88.9,89.6,792000.0
2006/01/20 00:00:00:000000,89.6,89.9,88.7,89.9,916000.0
2006/01/23 00:00:00:000000,89.5,89.5,88.0,88.3,494000.0
2006/01/24 00:00:00:000000,88.3,89.5,88.3,89.3,270000.0
2006/01/25 00:00:00:000000,89.3,91.5,88.6,91.5,644000.0
2006/02/03 00:00:00:000000,90.0,91.5,89.3,91.0,1150000.0
2006/02/06 00:00:00:000000,89.9,89.9,87.8,88.6,1085000.0
2006/02/07 00:00:00:000000,88.5,89.3,88.5,89.0,454000.0
2006/02/08 00:00:00:000000,88.1,88.5,86.5,87.5,351000.0
2006/02/09 00:00:00:000000,87.5,88.0,84.7,85.9,959000.0
2006/02/10 00:00:00:000000,85.6,85.6,84.6,85.0,782000.0
2006/02/13 00:00:00:000000,85.0,85.0,82.6,83.3,698000.0
2006/02/14 00:00:00:000000,83.3,83.8,82.4,83.8,1456000.0
2006/02/15 00:00:00:000000,84.0,84.8,83.6,83.8,1245000.0
2006/02/16 00:00:00:000000,87.0,89.5,86.5,87.6,1663000.0
2006/02/17 00:00:00:000000,88.1,88.5,86.5,86.6,128000.0
2006/02/20 00:00:00:000000,85.2,86.3,85.2,86.2,173000.0
2006/02/21 00:00:00:000000,86.0,86.0,85.0,85.6,633000.0
2006/02/22 00:00:00:000000,85.4,85.7,83.1,84.4,702000.0
2006/02/23 00:00:00:000000,84.9,85.6,84.2,84.9,165000.0
2006/02/24 00:00:00:000000,84.9,90.0,84.9,90.0,659000.0
2006/02/27 00:00:00:000000,90.0,90.0,88.0,88.7,165000.0
2006/03/01 00:00:00:000000,89.0,89.1,86.6,87.8,219000.0
2006/03/02 00:00:00:000000,87.5,87.9,87.1,87.5,753000.0
2006/03/03 00:00:00:000000,87.6,87.9,85.5,86.5,366000.0
2006/03/06 00:00:00:000000,86.7,86.9,86.3,86.8,462000.0
2006/03/07 00:00:00:000000,86.7,86.7,86.6,86.7,281000.0
2006/03/08 00:00:00:000000,86.7,87.9,86.7,87.3,225000.0
2006/03/09 00:00:00:000000,87.3,87.3,86.6,86.6,195000.0
2006/03/10 00:00:00:000000,86.6,87.0,86.6,87.0,288000.0
2006/03/13 00:00:00:000000,86.6,87.8,86.6,87.0,166000.0
2006/03/14 00:00:00:000000,87.0,87.0,85.0,85.7,453000.0
2006/03/15 00:00:00:000000,85.7,86.8,85.7,86.3,637000.0
2006/03/16 00:00:00:000000,86.6,89.2,86.6,86.6,519000.0
2006/03/17 00:00:00:000000,86.6,88.0,86.4,86.8,2091000.0
2006/03/20 00:00:00:000000,87.2,88.8,87.0,88.8,699000.0
2006/03/21 00:00:00:000000,88.8,89.0,86.6,86.6,223000.0
2006/03/22 00:00:00:000000,86.6,86.6,85.8,86.2,412000.0
2006/03/23 00:00:00:000000,86.6,86.6,85.9,86.1,264000.0
2006/03/24 00:00:00:000000,86.1,86.1,85.6,85.9,176000.0
2006/03/27 00:00:00:000000,85.9,86.4,85.4,85.9,242000.0
2006/03/28 00:00:00:000000,85.9,88.9,85.7,88.2,215000.0
2006/03/29 00:00:00:000000,87.7,88.2,86.8,87.7,229000.0
2006/03/30 00:00:00:000000,89.0,89.5,87.7,89.4,978000.0
2006/03/31 00:00:00:000000,89.5,91.0,89.5,89.9,546000.0
2006/04/03 00:00:00:000000,89.9,90.8,88.5,90.5,238000.0
2006/04/04 00:00:00:000000,91.0,92.4,90.5,91.7,403000.0
2006/04/06 00:00:00:000000,92.0,94.5,92.0,94.5,1308000.0
2006/04/07 00:00:00:000000,94.6,97.6,94.5,97.3,1302000.0
2006/04/10 00:00:00:000000,98.0,99.0,97.3,98.8,1071000.0
2006/04/11 00:00:00:000000,99.6,99.6,95.5,99.2,764000.0
2006/04/12 00:00:00:000000,99.5,99.5,96.1,98.0,260000.0
2006/04/13 00:00:00:000000,97.6,99.4,96.0,99.0,556000.0
2006/04/14 00:00:00:000000,99.0,99.0,97.4,99.0,280000.0
2006/04/17 00:00:00:000000,99.0,104.5,99.0,102.5,1328000.0
2006/04/18 00:00:00:000000,102.0,102.0,99.1,99.9,702000.0
2006/04/19 00:00:00:000000,101.5,104.0,98.5,102.0,1745000.0
2006/04/20 00:00:00:000000,102.0,104.0,101.5,103.5,1014000.0
2006/04/21 00:00:00:000000,99.6,105.0,99.6,101.0,370000.0
2006/04/24 00:00:00:000000,100.0,100.0,94.0,94.5,1573000.0
2006/04/25 00:00:00:000000,94.0,95.3,94.0,94.9,615000.0
2006/04/26 00:00:00:000000,94.2,96.3,94.0,95.9,337000.0
2006/04/27 00:00:00:000000,95.9,97.5,94.0,94.0,628000.0
2006/04/28 00:00:00:000000,94.0,97.0,87.5,87.5,659000.0
2006/05/02 00:00:00:000000,93.3,93.3,90.5,92.8,573000.0
2006/05/03 00:00:00:000000,93.0,95.0,93.0,94.3,1967000.0
2006/05/04 00:00:00:000000,94.3,94.3,93.1,94.0,128000.0
2006/05/05 00:00:00:000000,94.0,94.0,91.8,92.0,657000.0
2006/05/08 00:00:00:000000,92.0,93.9,91.3,93.9,242000.0
2006/05/09 00:00:00:000000,93.5,93.5,91.0,92.0,509000.0
2006/05/10 00:00:00:000000,90.8,92.0,90.8,92.0,186000.0
2006/05/11 00:00:00:000000,91.1,91.7,90.9,91.6,196000.0
2006/05/12 00:00:00:000000,91.0,92.0,89.0,90.3,396000.0
2006/05/15 00:00:00:000000,89.1,89.6,88.1,88.2,470000.0
2006/05/16 00:00:00:000000,88.2,88.2,87.0,87.0,512000.0
2006/05/17 00:00:00:000000,87.1,87.8,86.8,87.2,545000.0
2006/05/18 00:00:00:000000,87.2,87.5,86.6,87.0,622000.0
2006/05/19 00:00:00:000000,87.0,87.0,86.0,86.7,875000.0
2006/05/22 00:00:00:000000,86.7,87.0,85.9,86.2,428000.0
2006/05/23 00:00:00:000000,86.2,86.6,85.9,86.2,1248000.0
2006/05/24 00:00:00:000000,86.3,87.3,86.0,87.0,1747000.0
2006/05/25 00:00:00:000000,87.0,87.1,86.0,86.6,525000.0
2006/05/26 00:00:00:000000,86.8,87.2,86.6,86.6,427000.0
2006/05/29 00:00:00:000000,87.0,87.4,86.6,86.6,543000.0
2006/05/30 00:00:00:000000,87.4,88.8,86.7,86.7,615000.0
2006/06/01 00:00:00:000000,86.7,88.0,86.6,87.5,584000.0
2006/06/02 00:00:00:000000,88.4,88.4,87.5,87.6,341000.0
2006/06/05 00:00:00:000000,87.9,89.4,86.9,87.5,553000.0
2006/06/06 00:00:00:000000,87.4,89.5,87.0,89.3,710000.0
2006/06/07 00:00:00:000000,91.0,91.0,88.8,88.8,352000.0
2006/06/08 00:00:00:000000,89.0,89.0,87.8,88.2,768000.0
2006/06/09 00:00:00:000000,89.0,89.0,87.0,88.0,787000.0
2006/06/12 00:00:00:000000,87.5,87.8,85.8,87.5,391000.0
2006/06/13 00:00:00:000000,87.4,87.4,85.9,86.7,754000.0
2006/06/14 00:00:00:000000,86.7,89.1,86.7,88.1,241000.0
2006/06/15 00:00:00:000000,88.1,88.2,85.5,87.3,1014000.0
2006/06/16 00:00:00:000000,88.3,89.4,87.6,88.7,367000.0
2006/06/19 00:00:00:000000,88.7,91.0,88.7,91.0,287000.0
2006/06/20 00:00:00:000000,90.8,91.2,87.1,87.6,464000.0
2006/06/21 00:00:00:000000,87.1,88.6,86.4,86.9,321000.0
2006/06/22 00:00:00:000000,87.9,90.0,87.9,89.0,189000.0
2006/06/23 00:00:00:000000,88.0,89.0,86.8,89.0,278000.0
2006/06/26 00:00:00:000000,88.9,89.5,87.5,89.0,163000.0
2006/06/27 00:00:00:000000,88.0,90.2,88.0,89.5,245000.0
2006/06/28 00:00:00:000000,88.0,89.3,87.6,89.3,248000.0
2006/06/29 00:00:00:000000,89.0,90.7,89.0,90.5,669000.0
2006/06/30 00:00:00:000000,91.8,93.0,90.6,92.8,552000.0
2006/07/03 00:00:00:000000,94.0,94.0,93.0,93.0,314000.0
2006/07/04 00:00:00:000000,93.1,93.1,91.5,92.6,138000.0
2006/07/05 00:00:00:000000,92.6,92.6,90.2,90.9,223000.0
2006/07/06 00:00:00:000000,89.0,90.9,89.0,90.9,420000.0
2006/07/07 00:00:00:000000,91.6,91.6,89.2,91.5,77000.0
2006/07/10 00:00:00:000000,91.5,91.5,89.6,90.3,152000.0
2006/07/11 00:00:00:000000,90.3,90.9,90.3,90.3,38000.0
2006/07/12 00:00:00:000000,90.5,93.5,90.5,90.7,323000.0
2006/07/13 00:00:00:000000,91.2,92.4,90.5,90.8,965000.0
2006/07/14 00:00:00:000000,90.0,90.5,89.6,90.0,608000.0
2006/07/17 00:00:00:000000,91.0,93.0,91.0,92.1,405000.0
2006/07/18 00:00:00:000000,92.1,93.5,91.9,93.5,1202000.0
2006/07/19 00:00:00:000000,95.0,96.5,93.5,96.0,1173000.0
2006/07/20 00:00:00:000000,97.9,98.5,97.3,97.3,890000.0
2006/07/21 00:00:00:000000,94.8,96.9,94.0,95.1,220000.0
2006/07/24 00:00:00:000000,94.1,96.0,92.1,96.0,1282000.0
