time,open,high,low,close,volume
2006/01/02 00:00:00:000000,24.9,24.9,24.4,24.45,19784000.0
2006/01/03 00:00:00:000000,24.5,25.0,24.4,25.0,28322000.0
2006/01/04 00:00:00:000000,25.2,25.3,24.75,25.0,25957000.0
2006/01/05 00:00:00:000000,25.0,25.15,24.95,25.1,30531000.0
2006/01/06 00:00:00:000000,25.1,25.35,25.1,25.3,38482000.0
2006/01/09 00:00:00:000000,25.4,25.8,25.35,25.7,39869000.0
2006/01/10 00:00:00:000000,26.0,26.15,25.85,26.0,62786000.0
2006/01/11 00:00:00:000000,26.0,26.1,25.8,26.0,37750000.0
2006/01/12 00:00:00:000000,26.0,26.15,25.85,26.1,35081000.0
2006/01/13 00:00:00:000000,26.0,26.1,25.8,25.85,22227000.0
2006/01/16 00:00:00:000000,25.85,25.9,25.8,25.85,16489000.0
2006/01/17 00:00:00:000000,25.85,25.85,25.45,25.55,26796000.0
2006/01/18 00:00:00:000000,25.5,25.65,25.3,25.5,37476000.0
2006/01/19 00:00:00:000000,25.6,26.05,25.45,25.95,32416000.0
2006/01/20 00:00:00:000000,26.05,26.15,25.95,26.05,28195000.0
2006/01/23 00:00:00:000000,26.05,26.05,25.95,26.0,21565000.0
2006/01/24 00:00:00:000000,26.0,26.3,26.0,26.2,32100000.0
2006/01/25 00:00:00:000000,26.35,27.05,26.35,27.0,80283000.0
2006/02/03 00:00:00:000000,27.8,28.85,27.8,28.8,214641000.0
2006/02/06 00:00:00:000000,28.9,29.8,28.8,29.7,135470000.0
2006/02/07 00:00:00:000000,29.65,29.7,29.1,29.4,64773000.0
2006/02/08 00:00:00:000000,29.1,29.2,28.4,28.5,84298000.0
2006/02/09 00:00:00:000000,28.4,28.45,27.95,28.1,59834000.0
2006/02/10 00:00:00:000000,28.1,28.6,28.05,28.15,40312000.0
2006/02/13 00:00:00:000000,28.15,28.15,27.8,28.0,27943000.0
2006/02/14 00:00:00:000000,28.0,28.5,28.0,28.4,36858000.0
2006/02/15 00:00:00:000000,28.4,28.6,28.25,28.25,25377000.0
2006/02/16 00:00:00:000000,28.15,28.5,28.1,28.4,26712000.0
2006/02/17 00:00:00:000000,28.4,28.5,28.3,28.3,19795000.0
2006/02/20 00:00:00:000000,28.35,28.85,28.35,28.85,28792000.0
2006/02/21 00:00:00:000000,29.2,29.25,28.8,28.8,39229000.0
2006/02/22 00:00:00:000000,29.2,29.2,28.3,28.7,33175000.0
2006/02/23 00:00:00:000000,28.75,29.15,28.5,28.8,33388000.0
2006/02/24 00:00:00:000000,28.8,29.1,28.7,29.05,38190000.0
2006/02/27 00:00:00:000000,29.05,29.55,28.75,29.55,65808000.0
2006/03/01 00:00:00:000000,29.2,29.7,29.15,29.7,52142000.0
2006/03/02 00:00:00:000000,29.7,29.7,29.25,29.3,17143000.0
2006/03/03 00:00:00:000000,29.5,29.6,28.75,28.8,22438000.0
2006/03/06 00:00:00:000000,28.8,29.0,28.7,28.75,14552000.0
2006/03/07 00:00:00:000000,28.8,29.1,28.75,28.8,25462000.0
2006/03/08 00:00:00:000000,28.8,29.1,28.8,28.95,28851000.0
2006/03/09 00:00:00:000000,29.0,29.3,29.0,29.3,35354000.0
2006/03/10 00:00:00:000000,29.25,29.3,28.7,28.8,20812000.0
2006/03/13 00:00:00:000000,28.8,29.15,28.8,29.05,15023000.0
2006/03/14 00:00:00:000000,29.1,29.15,28.7,29.15,23297000.0
2006/03/15 00:00:00:000000,29.15,29.2,28.85,29.0,10146000.0
2006/03/16 00:00:00:000000,29.0,29.1,28.7,28.85,20474000.0
2006/03/17 00:00:00:000000,29.05,29.15,28.95,29.1,17296000.0
2006/03/20 00:00:00:000000,29.3,29.4,29.1,29.35,19293000.0
2006/03/21 00:00:00:000000,29.35,29.4,28.9,28.9,22775000.0
2006/03/22 00:00:00:000000,28.9,29.0,28.75,28.85,40683000.0
2006/03/23 00:00:00:000000,28.9,28.95,28.8,28.9,27459000.0
2006/03/24 00:00:00:000000,28.95,29.65,28.95,29.5,69289000.0
2006/03/27 00:00:00:000000,29.6,30.7,29.6,30.5,83957000.0
2006/03/28 00:00:00:000000,30.5,30.55,30.1,30.5,42808000.0
2006/03/29 00:00:00:000000,30.5,30.5,30.2,30.3,19866000.0
2006/03/30 00:00:00:000000,30.3,30.45,30.0,30.3,33973000.0
2006/03/31 00:00:00:000000,30.3,30.6,30.3,30.4,29162000.0
2006/04/03 00:00:00:000000,30.45,31.2,30.45,30.95,58226000.0
2006/04/04 00:00:00:000000,31.0,31.1,30.75,30.95,33674000.0
2006/04/06 00:00:00:000000,31.0,31.05,30.75,31.0,40915000.0
