time,open,high,low,close,volume
2006/01/02 00:00:00:000000,46.1,46.8,45.8,46.3,7315000.0
2006/01/03 00:00:00:000000,46.5,49.2,46.4,48.8,24875000.0
2006/01/04 00:00:00:000000,49.0,49.3,47.6,48.1,19597000.0
2006/01/05 00:00:00:000000,48.4,48.75,47.75,48.35,15070000.0
2006/01/06 00:00:00:000000,48.9,49.6,48.5,49.5,25704000.0
2006/01/09 00:00:00:000000,49.75,50.2,48.9,49.1,19632000.0
2006/01/10 00:00:00:000000,49.1,49.1,47.85,48.0,17178000.0
2006/01/11 00:00:00:000000,48.0,48.6,47.75,48.5,11276000.0
2006/01/12 00:00:00:000000,48.9,51.4,48.8,50.5,42798000.0
2006/01/13 00:00:00:000000,50.5,51.0,49.8,50.4,13195000.0
2006/01/16 00:00:00:000000,50.4,51.2,49.45,49.45,10489000.0
2006/01/17 00:00:00:000000,50.0,50.0,48.7,49.05,11873000.0
2006/01/18 00:00:00:000000,48.5,49.4,47.95,48.15,17384000.0
2006/01/19 00:00:00:000000,48.4,48.45,46.5,47.0,15969000.0
2006/01/20 00:00:00:000000,47.4,47.4,46.55,47.1,9285000.0
2006/01/23 00:00:00:000000,46.6,46.9,46.1,46.5,12081000.0
2006/01/24 00:00:00:000000,47.45,48.0,46.9,47.1,15710000.0
2006/01/25 00:00:00:000000,47.1,47.5,46.8,47.0,5864000.0
2006/02/03 00:00:00:000000,47.65,47.8,47.2,47.65,9248000.0
2006/02/06 00:00:00:000000,47.6,47.65,46.8,47.65,8040000.0
2006/02/07 00:00:00:000000,48.0,49.3,47.65,49.1,17167000.0
2006/02/08 00:00:00:000000,49.1,49.5,48.3,48.75,12253000.0
2006/02/09 00:00:00:000000,49.35,49.35,48.65,48.9,10535000.0
2006/02/10 00:00:00:000000,49.5,49.75,48.9,49.3,14337000.0
2006/02/13 00:00:00:000000,49.5,49.85,49.0,49.4,5474000.0
2006/02/14 00:00:00:000000,48.5,49.1,48.5,49.1,3351000.0
2006/02/15 00:00:00:000000,49.3,49.6,49.0,49.15,4719000.0
2006/02/16 00:00:00:000000,49.6,50.1,49.3,50.0,7272000.0
2006/02/17 00:00:00:000000,50.5,52.0,50.5,51.4,25202000.0
2006/02/20 00:00:00:000000,51.0,51.8,51.0,51.5,8432000.0
2006/02/21 00:00:00:000000,52.0,52.6,51.9,52.1,11216000.0
2006/02/22 00:00:00:000000,51.0,52.0,49.95,50.4,14408000.0
2006/02/23 00:00:00:000000,50.0,50.1,48.4,48.6,13600000.0
2006/02/24 00:00:00:000000,49.7,49.7,48.95,49.2,7078000.0
2006/02/27 00:00:00:000000,49.25,49.75,49.25,49.65,4239000.0
2006/03/01 00:00:00:000000,48.6,50.0,48.5,50.0,9319000.0
2006/03/02 00:00:00:000000,50.3,50.7,49.9,50.7,6338000.0
2006/03/03 00:00:00:000000,50.7,50.7,49.2,49.5,4501000.0
2006/03/06 00:00:00:000000,49.5,50.1,49.4,49.75,3506000.0
2006/03/07 00:00:00:000000,49.8,49.8,48.8,49.2,5797000.0
2006/03/08 00:00:00:000000,49.0,49.8,48.8,49.25,2734000.0
2006/03/09 00:00:00:000000,49.3,49.75,49.05,49.4,2991000.0
2006/03/10 00:00:00:000000,49.5,49.9,49.1,49.4,3643000.0
2006/03/13 00:00:00:000000,49.9,50.8,49.8,50.8,5937000.0
2006/03/14 00:00:00:000000,50.9,51.2,49.9,50.0,4489000.0
2006/03/15 00:00:00:000000,50.2,50.5,49.9,50.0,5628000.0
2006/03/16 00:00:00:000000,50.0,51.0,49.6,49.85,6451000.0
2006/03/17 00:00:00:000000,49.75,52.0,49.35,52.0,11993000.0
2006/03/20 00:00:00:000000,52.2,52.5,51.1,51.9,11045000.0
2006/03/21 00:00:00:000000,52.0,53.3,50.1,50.1,16670000.0
2006/03/22 00:00:00:000000,50.2,51.1,50.2,51.0,9520000.0
2006/03/23 00:00:00:000000,51.5,51.5,50.3,50.9,9287000.0
2006/03/24 00:00:00:000000,50.9,51.3,50.6,51.0,4367000.0
2006/03/27 00:00:00:000000,51.4,51.8,51.1,51.8,5364000.0
2006/03/28 00:00:00:000000,51.5,52.8,51.5,52.4,10097000.0
2006/03/29 00:00:00:000000,52.5,53.2,52.5,53.2,7955000.0
2006/03/30 00:00:00:000000,53.4,53.9,53.1,53.6,9957000.0
2006/03/31 00:00:00:000000,53.3,53.8,52.7,53.3,7138000.0
2006/04/03 00:00:00:000000,52.6,53.1,52.1,52.5,6536000.0
2006/04/04 00:00:00:000000,51.8,52.1,51.5,51.9,14158000.0
2006/04/06 00:00:00:000000,52.8,53.0,52.3,52.9,6534000.0
2006/04/07 00:00:00:000000,52.0,52.6,51.8,52.1,7272000.0
2006/04/10 00:00:00:000000,55.7,55.7,55.7,55.7,8211000.0
2006/04/11 00:00:00:000000,57.0,57.0,55.2,56.0,11374000.0
2006/04/12 00:00:00:000000,56.0,56.0,55.3,55.7,6426000.0
2006/04/13 00:00:00:000000,55.8,56.0,54.8,55.5,8682000.0
2006/04/14 00:00:00:000000,55.5,56.7,55.5,56.6,8643000.0
2006/04/17 00:00:00:000000,57.1,58.5,57.1,58.2,10836000.0
2006/04/18 00:00:00:000000,58.4,58.4,57.3,58.0,5177000.0
2006/04/19 00:00:00:000000,58.5,58.8,58.2,58.6,8793000.0
2006/04/20 00:00:00:000000,58.5,58.6,57.4,58.3,4934000.0
2006/04/21 00:00:00:000000,58.1,58.2,56.7,57.5,11663000.0
2006/04/24 00:00:00:000000,56.5,57.5,56.5,57.0,4772000.0
2006/04/25 00:00:00:000000,56.4,57.1,55.4,55.6,5823000.0
2006/04/26 00:00:00:000000,55.6,56.8,55.6,56.7,3671000.0
2006/04/27 00:00:00:000000,56.7,56.7,56.1,56.5,3380000.0
2006/04/28 00:00:00:000000,56.0,56.6,55.6,56.3,5013000.0
2006/05/02 00:00:00:000000,55.7,56.3,55.2,56.2,6181000.0
2006/05/03 00:00:00:000000,56.1,57.1,55.7,55.8,7562000.0
2006/05/04 00:00:00:000000,57.3,57.3,55.8,56.3,5039000.0
2006/05/05 00:00:00:000000,56.6,57.8,56.5,57.2,6675000.0
2006/05/08 00:00:00:000000,57.5,58.5,57.5,58.2,7361000.0
2006/05/09 00:00:00:000000,57.3,58.0,56.3,57.0,10100000.0
2006/05/10 00:00:00:000000,55.6,55.9,53.6,54.3,11975000.0
2006/05/11 00:00:00:000000,53.8,54.2,53.1,53.5,12728000.0
2006/05/12 00:00:00:000000,53.5,53.5,51.9,52.5,13532000.0
2006/05/15 00:00:00:000000,52.3,52.4,51.6,51.7,5721000.0
2006/05/16 00:00:00:000000,52.0,52.6,51.5,51.9,6779000.0
2006/05/17 00:00:00:000000,51.7,51.9,51.5,51.8,3983000.0
2006/05/18 00:00:00:000000,51.2,51.2,50.0,50.2,9584000.0
2006/05/19 00:00:00:000000,50.0,50.0,49.0,49.4,14849000.0
2006/05/22 00:00:00:000000,49.5,50.0,48.55,48.8,9278000.0
2006/05/23 00:00:00:000000,48.1,48.3,47.35,47.7,13588000.0
2006/05/24 00:00:00:000000,47.7,48.7,47.7,48.1,9340000.0
2006/05/25 00:00:00:000000,48.1,49.4,47.9,48.0,9354000.0
2006/05/26 00:00:00:000000,48.3,48.85,48.1,48.5,7312000.0
2006/05/29 00:00:00:000000,49.3,49.3,48.7,49.2,4770000.0
2006/05/30 00:00:00:000000,49.2,49.3,48.1,48.1,8065000.0
2006/06/01 00:00:00:000000,48.0,49.1,47.9,49.1,8691000.0
2006/06/02 00:00:00:000000,49.4,50.8,49.4,50.6,21025000.0
2006/06/05 00:00:00:000000,50.8,51.5,49.5,49.8,13039000.0
2006/06/06 00:00:00:000000,49.8,50.2,49.15,50.0,5850000.0
2006/06/07 00:00:00:000000,50.0,50.0,48.5,48.7,3623000.0
2006/06/08 00:00:00:000000,48.3,48.3,45.9,46.0,12648000.0
2006/06/09 00:00:00:000000,46.0,46.8,45.1,46.45,12128000.0
2006/06/12 00:00:00:000000,47.25,47.25,45.5,47.1,6162000.0
2006/06/13 00:00:00:000000,46.0,46.8,45.9,46.3,3912000.0
2006/06/14 00:00:00:000000,47.25,47.25,46.5,47.1,4604000.0
2006/06/15 00:00:00:000000,48.5,48.5,47.45,48.3,5743000.0
2006/06/16 00:00:00:000000,49.7,50.7,49.0,50.4,5446000.0
2006/06/19 00:00:00:000000,49.9,50.7,49.25,50.7,6803000.0
2006/06/20 00:00:00:000000,50.0,50.1,49.0,49.4,4389000.0
2006/06/21 00:00:00:000000,49.1,49.7,49.0,49.45,4304000.0
2006/06/22 00:00:00:000000,50.9,51.1,50.2,51.1,4487000.0
2006/06/23 00:00:00:000000,50.1,50.7,50.1,50.5,3707000.0
2006/06/26 00:00:00:000000,50.5,50.7,49.6,50.2,2275000.0
2006/06/27 00:00:00:000000,50.2,51.3,50.2,50.8,6699000.0
