time,open,high,low,close,volume
2006/01/02 00:00:00:000000,61.8,61.8,60.0,61.0,29043000.0
2006/01/03 00:00:00:000000,61.0,62.9,60.5,62.9,68217000.0
2006/01/04 00:00:00:000000,63.1,63.4,62.0,63.4,52854000.0
2006/01/05 00:00:00:000000,63.4,64.0,62.6,64.0,42553000.0
2006/01/06 00:00:00:000000,64.8,65.5,64.7,65.5,65929000.0
2006/01/09 00:00:00:000000,66.1,68.4,66.1,68.1,75200000.0
2006/01/10 00:00:00:000000,68.0,68.0,66.2,66.7,44098000.0
2006/01/11 00:00:00:000000,66.0,66.0,64.1,65.8,66894000.0
2006/01/12 00:00:00:000000,66.5,66.5,65.1,65.5,46161000.0
2006/01/13 00:00:00:000000,64.8,65.0,63.8,64.5,36767000.0
2006/01/16 00:00:00:000000,63.8,64.3,63.5,63.9,35827000.0
2006/01/17 00:00:00:000000,64.1,65.3,64.1,64.6,37573000.0
2006/01/18 00:00:00:000000,62.0,62.7,61.4,61.6,79001000.0
2006/01/19 00:00:00:000000,61.8,63.1,61.3,62.0,51772000.0
2006/01/20 00:00:00:000000,63.0,63.0,62.1,62.5,35142000.0
2006/01/23 00:00:00:000000,61.6,62.2,61.4,61.8,27252000.0
2006/01/24 00:00:00:000000,61.8,62.6,61.7,61.9,38567000.0
2006/01/25 00:00:00:000000,63.0,63.5,62.3,63.5,39716000.0
2006/02/03 00:00:00:000000,64.0,64.5,62.3,63.4,78760000.0
2006/02/06 00:00:00:000000,63.0,66.5,61.6,66.5,52209000.0
2006/02/07 00:00:00:000000,64.0,65.3,64.0,65.0,40024000.0
2006/02/08 00:00:00:000000,65.0,65.0,63.0,63.1,34711000.0
2006/02/09 00:00:00:000000,64.0,64.2,62.6,63.0,36785000.0
2006/02/10 00:00:00:000000,63.0,63.1,62.0,62.6,37360000.0
2006/02/13 00:00:00:000000,62.1,62.7,62.0,62.4,25849000.0
2006/02/14 00:00:00:000000,62.0,62.3,61.6,62.3,45981000.0
2006/02/15 00:00:00:000000,62.5,62.5,61.1,61.3,36929000.0
2006/02/16 00:00:00:000000,61.9,62.9,61.6,62.4,42814000.0
2006/02/17 00:00:00:000000,62.5,62.9,61.6,61.7,31824000.0
2006/02/20 00:00:00:000000,61.5,62.7,61.4,62.7,22497000.0
2006/02/21 00:00:00:000000,62.9,63.2,62.0,62.1,31545000.0
2006/02/22 00:00:00:000000,62.4,62.7,61.3,61.9,35892000.0
2006/02/23 00:00:00:000000,61.7,61.8,60.5,60.8,41565000.0
2006/02/24 00:00:00:000000,60.8,61.3,60.3,61.0,44690000.0
2006/02/27 00:00:00:000000,61.0,61.0,60.3,60.9,43324000.0
2006/03/01 00:00:00:000000,60.3,60.8,59.9,60.4,55438000.0
2006/03/02 00:00:00:000000,61.5,62.8,61.5,62.7,77346000.0
2006/03/03 00:00:00:000000,62.6,62.6,61.4,61.8,42637000.0
2006/03/06 00:00:00:000000,61.7,61.7,60.7,60.9,27217000.0
2006/03/07 00:00:00:000000,60.9,60.9,60.1,60.1,35862000.0
2006/03/08 00:00:00:000000,59.9,60.0,58.9,59.0,59737000.0
2006/03/09 00:00:00:000000,59.0,59.9,59.0,59.8,26913000.0
2006/03/10 00:00:00:000000,59.8,62.2,59.8,61.4,62472000.0
2006/03/13 00:00:00:000000,61.4,61.7,60.8,61.4,17772000.0
2006/03/14 00:00:00:000000,61.0,61.0,59.8,60.0,33116000.0
2006/03/15 00:00:00:000000,61.5,62.0,60.9,61.1,30906000.0
2006/03/16 00:00:00:000000,61.5,62.0,60.5,60.5,36247000.0
2006/03/17 00:00:00:000000,60.3,60.9,60.0,60.7,40660000.0
2006/03/20 00:00:00:000000,60.7,60.7,60.1,60.2,33811000.0
2006/03/21 00:00:00:000000,60.0,60.8,59.9,60.5,38056000.0
2006/03/22 00:00:00:000000,60.0,60.1,59.5,59.6,44194000.0
2006/03/23 00:00:00:000000,59.8,60.3,59.2,59.6,37753000.0
2006/03/24 00:00:00:000000,59.6,60.2,59.5,59.8,21815000.0
2006/03/27 00:00:00:000000,60.6,60.7,60.2,60.3,24778000.0
2006/03/28 00:00:00:000000,60.8,61.5,60.3,61.4,39296000.0
2006/03/29 00:00:00:000000,61.0,61.9,60.7,61.9,44370000.0
2006/03/30 00:00:00:000000,62.5,63.0,62.1,62.9,87041000.0
2006/03/31 00:00:00:000000,63.0,64.8,63.0,64.2,87416000.0
2006/04/03 00:00:00:000000,64.2,65.0,63.8,64.8,36081000.0
2006/04/04 00:00:00:000000,64.7,64.8,64.1,64.5,25492000.0
2006/04/06 00:00:00:000000,65.0,65.9,64.9,65.9,62776000.0
2006/04/07 00:00:00:000000,66.0,67.8,65.6,67.4,65210000.0
2006/04/10 00:00:00:000000,66.8,67.4,66.4,67.0,45269000.0
2006/04/11 00:00:00:000000,66.6,66.8,65.7,66.1,32437000.0
2006/04/12 00:00:00:000000,65.1,67.3,65.1,66.8,53365000.0
2006/04/13 00:00:00:000000,67.0,67.3,66.3,67.2,37458000.0
2006/04/14 00:00:00:000000,67.0,68.0,66.6,68.0,37197000.0
2006/04/17 00:00:00:000000,68.0,68.1,67.4,67.8,33660000.0
2006/04/18 00:00:00:000000,67.8,68.1,66.9,67.9,28301000.0
2006/04/19 00:00:00:000000,68.9,69.9,68.9,69.4,54616000.0
2006/04/20 00:00:00:000000,69.2,70.0,69.2,69.9,36817000.0
2006/04/21 00:00:00:000000,69.4,70.0,69.2,69.3,37752000.0
2006/04/24 00:00:00:000000,68.4,69.3,68.1,68.2,39953000.0
2006/04/25 00:00:00:000000,68.1,68.1,66.8,67.0,34846000.0
2006/04/26 00:00:00:000000,66.8,69.2,66.6,69.0,35858000.0
2006/04/27 00:00:00:000000,68.7,68.9,67.2,67.2,48641000.0
2006/04/28 00:00:00:000000,67.9,68.9,67.0,68.1,44615000.0
2006/05/02 00:00:00:000000,66.6,67.4,66.5,67.2,50130000.0
2006/05/03 00:00:00:000000,67.4,68.1,67.0,67.0,39905000.0
2006/05/04 00:00:00:000000,68.0,68.0,67.4,67.5,24475000.0
2006/05/05 00:00:00:000000,68.1,69.5,68.0,68.5,52614000.0
2006/05/08 00:00:00:000000,69.6,69.9,68.9,69.4,39739000.0
2006/05/09 00:00:00:000000,69.1,69.1,67.7,68.0,40328000.0
2006/05/10 00:00:00:000000,67.5,67.5,65.1,66.5,72014000.0
2006/05/11 00:00:00:000000,65.2,66.6,65.2,66.6,41121000.0
2006/05/12 00:00:00:000000,65.0,65.4,64.8,64.9,54606000.0
2006/05/15 00:00:00:000000,63.6,63.9,63.1,63.2,59011000.0
2006/05/16 00:00:00:000000,63.3,63.8,62.3,62.4,56197000.0
2006/05/17 00:00:00:000000,63.0,64.0,62.8,63.7,31932000.0
2006/05/18 00:00:00:000000,62.4,62.7,62.0,62.5,54464000.0
2006/05/19 00:00:00:000000,62.5,63.1,62.0,62.5,41774000.0
2006/05/22 00:00:00:000000,62.7,62.8,60.7,60.8,63960000.0
2006/05/23 00:00:00:000000,60.1,61.7,59.8,61.1,57792000.0
2006/05/24 00:00:00:000000,61.1,61.7,60.2,61.0,55754000.0
2006/05/25 00:00:00:000000,60.5,60.9,59.8,59.8,50891000.0
2006/05/26 00:00:00:000000,60.0,60.6,59.3,59.5,59931000.0
2006/05/29 00:00:00:000000,60.0,61.2,59.8,60.2,32855000.0
2006/05/30 00:00:00:000000,61.0,61.7,60.3,60.3,55958000.0
