time,open,high,low,close,volume
2006/01/02 00:00:00:000000,50.75,50.8,50.35,50.55,4919000.0
2006/01/03 00:00:00:000000,50.45,51.5,50.4,51.45,5224000.0
2006/01/04 00:00:00:000000,51.95,52.1,51.5,51.7,9562000.0
2006/01/05 00:00:00:000000,52.05,52.6,52.05,52.45,8159000.0
2006/01/06 00:00:00:000000,52.45,52.8,52.3,52.3,5867000.0
2006/01/09 00:00:00:000000,52.8,53.2,52.6,52.8,7517000.0
2006/01/10 00:00:00:000000,52.95,52.95,52.25,52.3,4284000.0
2006/01/11 00:00:00:000000,52.2,52.7,52.0,52.55,5611000.0
2006/01/12 00:00:00:000000,52.7,53.25,52.7,52.7,15028000.0
2006/01/13 00:00:00:000000,52.8,52.85,52.35,52.45,4136000.0
2006/01/16 00:00:00:000000,52.35,52.85,52.15,52.85,7371000.0
2006/01/17 00:00:00:000000,52.85,53.15,52.85,52.85,7820000.0
2006/01/18 00:00:00:000000,52.0,52.0,50.8,50.85,7723000.0
2006/01/19 00:00:00:000000,51.05,51.45,50.7,51.4,7859000.0
2006/01/20 00:00:00:000000,51.45,51.55,51.1,51.3,5922000.0
2006/01/23 00:00:00:000000,50.8,50.9,50.4,50.55,4064000.0
2006/01/24 00:00:00:000000,50.6,51.05,50.6,51.0,3385000.0
2006/01/25 00:00:00:000000,51.05,51.5,51.05,51.35,7258000.0
2006/02/03 00:00:00:000000,51.8,52.3,51.55,51.6,3849000.0
2006/02/06 00:00:00:000000,51.55,53.0,51.45,52.35,8412000.0
2006/02/07 00:00:00:000000,52.6,53.15,52.6,53.0,8037000.0
2006/02/08 00:00:00:000000,52.6,52.9,52.15,52.3,1846000.0
2006/02/09 00:00:00:000000,52.5,52.75,52.2,52.2,2712000.0
2006/02/10 00:00:00:000000,52.3,52.4,51.9,52.1,2454000.0
2006/02/13 00:00:00:000000,52.1,52.3,51.75,52.0,3805000.0
2006/02/14 00:00:00:000000,51.75,52.25,51.6,52.25,3889000.0
2006/02/15 00:00:00:000000,52.3,52.6,52.05,52.05,6464000.0
2006/02/16 00:00:00:000000,52.15,53.05,52.15,53.05,10877000.0
2006/02/17 00:00:00:000000,53.15,53.2,52.7,52.95,2924000.0
2006/02/20 00:00:00:000000,52.5,53.0,52.45,52.9,1345000.0
2006/02/21 00:00:00:000000,53.2,53.3,52.75,52.8,1722000.0
2006/02/22 00:00:00:000000,52.8,52.8,51.75,52.1,4007000.0
2006/02/23 00:00:00:000000,52.1,52.15,51.6,51.7,3109000.0
2006/02/24 00:00:00:000000,51.7,52.1,51.7,52.05,1177000.0
2006/02/27 00:00:00:000000,52.0,52.45,51.8,52.4,1753000.0
2006/03/01 00:00:00:000000,52.35,52.9,52.1,52.85,5317000.0
2006/03/02 00:00:00:000000,52.9,53.3,52.85,52.85,7087000.0
2006/03/03 00:00:00:000000,52.8,53.05,52.05,52.05,2136000.0
2006/03/06 00:00:00:000000,54.5,54.5,52.05,52.45,2864000.0
2006/03/07 00:00:00:000000,52.2,52.2,51.7,51.8,3887000.0
2006/03/08 00:00:00:000000,52.0,52.0,51.1,51.4,1704000.0
2006/03/09 00:00:00:000000,51.65,51.75,51.3,51.65,3378000.0
2006/03/10 00:00:00:000000,51.85,51.95,51.45,51.6,1180000.0
2006/03/13 00:00:00:000000,52.0,52.15,51.8,51.8,1073000.0
2006/03/14 00:00:00:000000,51.9,51.9,51.15,51.3,3315000.0
2006/03/15 00:00:00:000000,51.5,52.15,51.5,52.15,2517000.0
2006/03/16 00:00:00:000000,52.1,52.65,51.85,51.9,2040000.0
2006/03/17 00:00:00:000000,51.9,52.0,51.5,52.0,1886000.0
2006/03/20 00:00:00:000000,52.3,52.3,51.8,51.95,2145000.0
2006/03/21 00:00:00:000000,52.0,52.0,51.55,51.55,1034000.0
2006/03/22 00:00:00:000000,51.25,51.25,50.65,50.75,3617000.0
2006/03/23 00:00:00:000000,50.7,50.95,50.4,50.5,2840000.0
2006/03/24 00:00:00:000000,50.4,50.9,50.4,50.9,956000.0
2006/03/27 00:00:00:000000,50.9,51.1,50.85,51.05,1243000.0
2006/03/28 00:00:00:000000,51.2,51.55,51.05,51.5,4158000.0
2006/03/29 00:00:00:000000,51.2,51.75,51.2,51.7,1582000.0
2006/03/30 00:00:00:000000,51.8,52.3,51.8,52.3,2387000.0
2006/03/31 00:00:00:000000,52.3,53.0,52.3,52.8,2605000.0
2006/04/03 00:00:00:000000,52.8,53.15,52.65,53.1,2959000.0
2006/04/04 00:00:00:000000,53.1,53.25,53.0,53.1,2603000.0
2006/04/06 00:00:00:000000,53.6,53.8,53.45,53.7,4154000.0
2006/04/07 00:00:00:000000,53.9,54.2,53.55,53.9,3290000.0
2006/04/10 00:00:00:000000,53.45,54.35,53.45,54.1,3941000.0
2006/04/11 00:00:00:000000,53.85,54.0,53.55,53.55,888000.0
2006/04/12 00:00:00:000000,53.4,53.95,53.3,53.95,2477000.0
2006/04/13 00:00:00:000000,54.1,54.4,54.0,54.4,3146000.0
2006/04/14 00:00:00:000000,54.4,55.2,54.4,55.05,2502000.0
2006/04/17 00:00:00:000000,55.15,55.35,55.0,55.2,3853000.0
2006/04/18 00:00:00:000000,55.3,55.3,54.75,55.3,1197000.0
2006/04/19 00:00:00:000000,55.5,56.0,55.5,55.7,4476000.0
2006/04/20 00:00:00:000000,55.7,56.15,55.7,56.1,2857000.0
2006/04/21 00:00:00:000000,56.3,56.6,56.15,56.25,3135000.0
2006/04/24 00:00:00:000000,55.85,56.45,55.8,56.35,2788000.0
2006/04/25 00:00:00:000000,56.3,56.6,55.7,55.85,1659000.0
2006/04/26 00:00:00:000000,56.0,56.85,55.7,56.85,2264000.0
2006/04/27 00:00:00:000000,56.9,57.05,56.6,56.6,4246000.0
2006/04/28 00:00:00:000000,56.5,56.85,56.1,56.8,2358000.0
2006/05/02 00:00:00:000000,56.8,57.0,56.5,56.8,2083000.0
2006/05/03 00:00:00:000000,57.2,57.5,57.2,57.2,4253000.0
2006/05/04 00:00:00:000000,57.4,58.3,57.4,58.0,2532000.0
2006/05/05 00:00:00:000000,58.2,59.1,58.2,58.4,3190000.0
2006/05/08 00:00:00:000000,58.6,59.2,58.6,59.2,4755000.0
2006/05/09 00:00:00:000000,59.3,59.3,58.1,58.5,7118000.0
2006/05/10 00:00:00:000000,58.5,58.55,57.1,57.4,9545000.0
2006/05/11 00:00:00:000000,57.05,58.0,56.7,57.75,6134000.0
2006/05/12 00:00:00:000000,57.3,57.5,56.85,57.5,3813000.0
2006/05/15 00:00:00:000000,56.9,56.9,55.75,56.0,10740000.0
2006/05/16 00:00:00:000000,56.1,56.15,55.2,55.2,6584000.0
2006/05/17 00:00:00:000000,55.3,55.8,55.15,55.6,8059000.0
2006/05/18 00:00:00:000000,54.65,54.8,54.45,54.65,8800000.0
2006/05/19 00:00:00:000000,54.4,55.1,54.4,54.75,6430000.0
2006/05/22 00:00:00:000000,55.1,55.2,53.9,53.9,7011000.0
2006/05/23 00:00:00:000000,53.25,53.5,52.9,53.0,9832000.0
2006/05/24 00:00:00:000000,53.3,53.65,52.7,53.35,5949000.0
2006/05/25 00:00:00:000000,53.35,53.7,53.0,53.35,4099000.0
2006/05/26 00:00:00:000000,53.8,54.05,53.1,53.3,5455000.0
2006/05/29 00:00:00:000000,53.8,53.8,53.15,53.6,2011000.0
2006/05/30 00:00:00:000000,53.5,53.7,53.0,53.4,4977000.0
2006/06/01 00:00:00:000000,53.25,53.6,53.15,53.4,2501000.0
2006/06/02 00:00:00:000000,53.6,54.3,53.45,54.3,4500000.0
2006/06/05 00:00:00:000000,54.3,54.3,52.3,52.45,6779000.0
2006/06/06 00:00:00:000000,52.25,52.9,52.0,52.9,12292000.0
2006/06/07 00:00:00:000000,52.6,52.6,51.8,51.85,7279000.0
2006/06/08 00:00:00:000000,51.5,51.5,49.8,49.99,22398000.0
2006/06/09 00:00:00:000000,50.0,50.8,49.4,50.8,14264000.0
2006/06/12 00:00:00:000000,50.35,50.7,49.7,50.7,7172000.0
2006/06/13 00:00:00:000000,50.2,50.2,49.41,49.6,8491000.0
2006/06/14 00:00:00:000000,49.65,51.1,49.65,51.1,5576000.0
2006/06/15 00:00:00:000000,51.45,51.45,50.4,50.8,6833000.0
2006/06/16 00:00:00:000000,51.95,52.35,51.75,51.9,9803000.0
2006/06/19 00:00:00:000000,51.9,52.1,51.6,51.85,4306000.0
2006/06/20 00:00:00:000000,51.8,51.8,49.9,50.45,11013000.0
2006/06/21 00:00:00:000000,50.4,50.8,50.1,50.2,5953000.0
2006/06/22 00:00:00:000000,50.95,51.75,50.8,51.65,17109000.0
2006/06/23 00:00:00:000000,51.3,51.4,50.65,51.15,9694000.0
2006/06/26 00:00:00:000000,51.45,52.1,51.25,51.8,6498000.0
2006/06/27 00:00:00:000000,51.75,52.5,51.6,51.85,7715000.0
2006/06/28 00:00:00:000000,51.35,51.55,51.05,51.55,4514000.0
2006/06/29 00:00:00:000000,51.75,52.2,51.75,52.2,4688000.0
2006/06/30 00:00:00:000000,53.15,53.2,52.85,53.1,9694000.0
2006/07/03 00:00:00:000000,53.2,53.3,53.0,53.05,6957000.0
2006/07/04 00:00:00:000000,53.15,53.55,53.1,53.35,5055000.0
2006/07/05 00:00:00:000000,53.05,53.15,52.5,52.7,3786000.0
2006/07/06 00:00:00:000000,52.5,52.6,52.15,52.6,9631000.0
2006/07/07 00:00:00:000000,52.4,52.7,52.2,52.3,2733000.0
2006/07/10 00:00:00:000000,52.0,53.1,51.9,53.1,2251000.0
2006/07/11 00:00:00:000000,52.9,53.05,52.5,52.7,1682000.0
2006/07/12 00:00:00:000000,52.85,53.3,52.1,52.5,4522000.0
2006/07/13 00:00:00:000000,52.1,52.35,52.0,52.1,6348000.0
2006/07/14 00:00:00:000000,51.3,51.3,50.65,50.8,15667000.0
2006/07/17 00:00:00:000000,50.55,50.6,49.3,49.63,8296000.0
2006/07/18 00:00:00:000000,49.8,49.97,49.63,49.97,4639000.0
2006/07/19 00:00:00:000000,49.98,50.3,49.8,49.99,6135000.0
2006/07/20 00:00:00:000000,50.9,51.35,50.75,51.35,5321000.0
2006/07/21 00:00:00:000000,50.8,51.2,50.6,51.2,5872000.0
2006/07/24 00:00:00:000000,50.2,50.65,50.05,50.6,4793000.0
2006/07/25 00:00:00:000000,51.2,51.2,50.85,50.85,3054000.0
2006/07/26 00:00:00:000000,50.8,51.05,50.65,50.9,2650000.0
2006/07/27 00:00:00:000000,51.0,51.6,50.85,51.6,3735000.0
2006/07/28 00:00:00:000000,51.5,51.75,51.35,51.55,4686000.0
2006/07/31 00:00:00:000000,52.0,52.05,51.2,51.4,5535000.0
2006/08/01 00:00:00:000000,51.5,51.85,51.4,51.45,3568000.0
2006/08/02 00:00:00:000000,51.45,51.95,51.2,51.8,2601000.0
2006/08/03 00:00:00:000000,52.05,52.15,51.65,51.95,3839000.0
2006/08/04 00:00:00:000000,51.95,52.0,51.35,51.45,8785000.0
2006/08/07 00:00:00:000000,51.35,51.75,51.25,51.4,4805000.0
2006/08/08 00:00:00:000000,51.45,52.25,51.45,52.25,8025000.0
2006/08/09 00:00:00:000000,52.2,53.0,52.1,53.0,8354000.0
2006/08/10 00:00:00:000000,52.95,53.35,52.85,53.1,8369000.0
2006/08/11 00:00:00:000000,53.3,53.35,52.95,53.0,4495000.0
2006/08/14 00:00:00:000000,53.1,53.65,53.1,53.45,5787000.0
2006/08/15 00:00:00:000000,53.45,53.55,53.3,53.5,6130000.0
2006/08/16 00:00:00:000000,54.0,54.3,53.95,54.3,8206000.0
2006/08/17 00:00:00:000000,54.65,54.9,54.55,54.75,17483000.0
2006/08/18 00:00:00:000000,54.75,54.8,54.55,54.6,5900000.0
2006/08/21 00:00:00:000000,54.5,54.55,52.85,52.9,12613000.0
2006/08/22 00:00:00:000000,52.9,53.6,52.9,53.4,8037000.0
2006/08/23 00:00:00:000000,53.3,53.55,52.5,53.5,4263000.0
2006/08/24 00:00:00:000000,53.0,53.5,53.0,53.15,1237000.0
2006/08/25 00:00:00:000000,53.55,53.65,53.2,53.2,3727000.0
2006/08/28 00:00:00:000000,53.0,53.2,52.45,52.55,5666000.0
2006/08/29 00:00:00:000000,52.8,53.5,52.6,52.9,4073000.0
2006/08/30 00:00:00:000000,53.1,53.9,53.0,53.7,5897000.0
2006/08/31 00:00:00:000000,54.15,54.45,54.1,54.25,6377000.0
2006/09/01 00:00:00:000000,54.15,54.4,54.15,54.35,2472000.0
2006/09/04 00:00:00:000000,54.8,55.35,54.8,55.05,17445000.0
2006/09/05 00:00:00:000000,55.2,55.35,55.05,55.2,6546000.0
2006/09/06 00:00:00:000000,54.8,55.2,54.45,54.75,7042000.0
2006/09/07 00:00:00:000000,54.45,54.8,54.25,54.55,5137000.0
2006/09/08 00:00:00:000000,54.55,55.0,54.25,54.7,4184000.0
2006/09/11 00:00:00:000000,54.8,55.75,54.5,54.75,5103000.0
2006/09/12 00:00:00:000000,54.5,54.7,54.15,54.15,2137000.0
